date,description,amount,mode,bank,type,gst
2024-08-18,Movie Ticket,25319.62,Debit Card,ICICI,expense,2959.88
2025-01-01,Hotel Booking,40067.1,Credit Card,ICICI,expense,1572.36
2025-11-20,Consulting Payment,4138.62,Auto Debit,SBI,income,365.89
2024-12-06,Consulting Payment,80832.31,Credit Card,Axis,income,11514.22
2025-05-28,Restaurant Payment,57103.44,Auto Debit,ICICI,expense,1542.48
2024-01-26,Hospital Payment,85855.38,Credit Card,Axis,expense,11229.99
2025-03-06,Consulting Payment,34910.09,Debit Card,ICICI,income,2166.56
2025-01-06,Fuel Payment,4153.26,NetBanking,HDFC,expense,678.57
2025-01-19,Fuel Payment,60015.23,Debit Card,SBI,expense,2700.69
2024-01-25,Electricity Bill,91697.84,NetBanking,Kotak,expense,6855.15
2025-08-09,Gym Membership,25866.84,UPI,Kotak,expense,4501.84
2024-02-26,Restaurant Payment,34328.88,Auto Debit,SBI,expense,980.74
2024-04-02,Hospital Payment,81035.73,NetBanking,Axis,expense,13490.49
2025-07-14,Movie Ticket,61520.21,NetBanking,ICICI,expense,2409.1
2024-04-16,Gym Membership,7053.4,NetBanking,Kotak,expense,166.81
2025-11-05,Hospital Payment,26135.83,NetBanking,Axis,expense,1311.46
2025-05-02,Electricity Bill,85301.63,NetBanking,HDFC,expense,8972.36
2025-02-21,Fuel Payment,78163.95,Debit Card,SBI,expense,3672.03
2025-05-20,Hospital Payment,23314.1,UPI,ICICI,expense,1240.6
2024-10-17,Consulting Payment,26915.83,Credit Card,HDFC,income,3861.43
2024-08-04,Interest Credited,68646.38,Debit Card,ICICI,income,2667.94
2025-02-23,Fuel Payment,26905.37,NetBanking,Axis,expense,596.43
2025-04-24,Fuel Payment,27016.9,Debit Card,ICICI,expense,4681.98
2025-02-24,Movie Ticket,45391.7,UPI,SBI,expense,6757.77
2024-08-27,Netflix Subscription,39146.03,NetBanking,SBI,expense,7042.75
2024-06-30,Netflix Subscription,24713.96,Credit Card,HDFC,expense,639.51
2025-02-17,Amazon Purchase,83761.65,Credit Card,SBI,expense,11743.19
2024-02-15,Fuel Payment,66845.98,Credit Card,SBI,expense,4911.02
2025-05-06,Consulting Payment,73087.35,Credit Card,Kotak,income,5370.0
2025-07-30,Amazon Purchase,91379.57,Auto Debit,HDFC,expense,11699.32
2024-08-19,Consulting Payment,90393.52,Credit Card,HDFC,income,7112.32
2025-06-23,Consulting Payment,77181.69,Credit Card,Kotak,income,1631.73
2025-03-20,Mutual Fund Investment,35348.11,Debit Card,ICICI,expense,6308.95
2025-05-26,Consulting Payment,89851.76,Auto Debit,SBI,income,2732.46
2024-05-23,Interest Credited,98097.08,NetBanking,SBI,income,2894.12
2025-07-04,Consulting Payment,64634.03,NetBanking,SBI,income,7547.47
2025-09-28,Grocery Shopping,13977.05,Credit Card,Kotak,expense,1219.93
2024-03-10,Interest Credited,74170.9,Credit Card,Kotak,income,12009.93
2025-05-04,Consulting Payment,55826.56,NetBanking,Kotak,income,4173.03
2024-01-07,Flight Ticket,89260.88,Auto Debit,HDFC,expense,4383.69
2025-08-25,Netflix Subscription,54632.67,NetBanking,Axis,expense,8836.23
2025-09-18,Restaurant Payment,35326.2,Auto Debit,HDFC,expense,4354.47
2025-10-22,Restaurant Payment,99098.99,UPI,ICICI,expense,14551.06
2025-03-02,Amazon Purchase,61495.44,Auto Debit,SBI,expense,5820.85
2025-04-20,Fuel Payment,88825.18,NetBanking,Axis,expense,14331.4
2025-09-03,Grocery Shopping,30726.34,Auto Debit,SBI,expense,3557.1
2025-03-10,Restaurant Payment,46921.48,Debit Card,Kotak,expense,5378.48
2025-10-13,Restaurant Payment,46072.58,UPI,HDFC,expense,5129.44
2024-03-22,Grocery Shopping,44111.12,Auto Debit,SBI,expense,7413.34
2025-10-17,Freelance Payment,57848.69,Debit Card,SBI,income,1876.54
2024-10-18,Netflix Subscription,52392.42,UPI,ICICI,expense,3598.64
2025-11-21,Hotel Booking,890.62,Debit Card,ICICI,expense,64.2
2025-05-18,Hospital Payment,57678.96,NetBanking,Kotak,expense,8644.54
2025-08-06,Movie Ticket,62367.37,Auto Debit,Axis,expense,5723.43
2025-03-29,Amazon Purchase,14329.28,Credit Card,SBI,expense,613.75
2025-06-06,Consulting Payment,89737.99,UPI,HDFC,income,16021.33
2025-07-25,Mutual Fund Investment,33692.08,Credit Card,ICICI,expense,1547.89
2024-01-07,Electricity Bill,86612.04,NetBanking,HDFC,expense,3025.88
2025-06-29,Salary Credited,36299.2,Debit Card,Kotak,income,5857.01
2024-02-19,Netflix Subscription,71160.89,Credit Card,HDFC,expense,3647.57
2025-09-08,Hospital Payment,5277.02,Auto Debit,Axis,expense,895.03
2024-02-25,Amazon Purchase,58819.37,Auto Debit,Axis,expense,5491.62
2025-06-12,Fuel Payment,7092.77,Debit Card,SBI,expense,1246.78
2024-10-25,Salary Credited,25423.47,Credit Card,HDFC,income,3900.5
2025-03-04,Freelance Payment,88207.22,Debit Card,SBI,income,4274.34
2024-10-22,Electricity Bill,78936.63,NetBanking,Kotak,expense,10047.06
2025-05-19,Salary Credited,12725.99,Credit Card,ICICI,income,520.44
2025-08-31,Mutual Fund Investment,62695.24,NetBanking,SBI,expense,5494.82
2025-07-06,Gym Membership,867.88,NetBanking,HDFC,expense,128.16
2025-11-10,Consulting Payment,36160.24,Credit Card,SBI,income,3557.76
2024-07-29,Restaurant Payment,68211.9,Debit Card,HDFC,expense,7509.71
2024-02-14,Salary Credited,47671.16,Credit Card,Axis,income,5826.29
2024-07-26,Mutual Fund Investment,64684.01,UPI,HDFC,expense,1947.87
2024-09-18,Freelance Payment,23041.4,Auto Debit,Kotak,income,2753.48
2024-07-04,Restaurant Payment,15384.35,UPI,ICICI,expense,1305.68
2024-12-25,Fuel Payment,91108.12,UPI,ICICI,expense,10650.69
2024-04-19,Electricity Bill,17715.35,Credit Card,ICICI,expense,1844.61
2025-03-15,Salary Credited,65188.07,Credit Card,SBI,income,6295.19
2024-04-24,Hospital Payment,20562.33,Debit Card,HDFC,expense,769.89
2025-08-03,Gym Membership,68770.86,Auto Debit,ICICI,expense,1375.64
2024-02-20,Consulting Payment,35060.8,Auto Debit,ICICI,income,1007.56
2024-07-22,Grocery Shopping,58449.49,Auto Debit,ICICI,expense,5059.34
2025-04-20,Hospital Payment,1065.99,Auto Debit,HDFC,expense,87.67
2024-02-26,Movie Ticket,55323.8,Auto Debit,Kotak,expense,5994.43
2025-09-03,Flight Ticket,39524.77,NetBanking,ICICI,expense,3204.12
2024-07-30,Salary Credited,82575.17,Credit Card,Axis,income,8507.24
2024-10-31,Hotel Booking,47348.63,UPI,SBI,expense,3058.13
2024-10-20,Flight Ticket,96038.84,UPI,ICICI,expense,12709.64
2025-09-27,Hospital Payment,335.88,NetBanking,ICICI,expense,36.8
2025-08-29,Movie Ticket,34323.06,Debit Card,SBI,expense,3339.47
2024-03-30,Hotel Booking,82985.2,UPI,Axis,expense,6954.51
2024-11-24,Electricity Bill,85848.25,Credit Card,Kotak,expense,10019.47
2025-08-02,Grocery Shopping,80474.32,NetBanking,ICICI,expense,4126.3
2025-02-12,Mutual Fund Investment,41220.08,Debit Card,Axis,expense,1986.84
2024-12-24,Salary Credited,38946.42,Debit Card,Kotak,income,4423.01
2024-05-11,Flight Ticket,4424.23,Debit Card,Axis,expense,505.28
2025-08-24,Hospital Payment,78686.98,Credit Card,SBI,expense,9646.47
2025-10-04,Salary Credited,9264.26,UPI,Axis,income,1111.75
2025-11-17,Hospital Payment,12187.68,Debit Card,HDFC,expense,1140.59
2025-11-27,Hospital Payment,46255.65,NetBanking,ICICI,expense,7555.16
2025-07-07,Flight Ticket,37858.86,NetBanking,Axis,expense,1634.1
2024-07-01,Interest Credited,8340.29,UPI,HDFC,income,1291.18
2024-10-19,Flight Ticket,95650.6,Credit Card,Axis,expense,3198.07
2024-05-13,Hospital Payment,41895.19,UPI,SBI,expense,6986.48
2024-04-30,Hospital Payment,70536.24,NetBanking,Kotak,expense,10949.52
2024-03-18,Flight Ticket,74726.74,UPI,HDFC,expense,5431.2
2025-05-21,Amazon Purchase,77942.85,UPI,ICICI,expense,11759.97
2024-10-11,Restaurant Payment,41215.52,Auto Debit,SBI,expense,5005.25
2025-05-06,Consulting Payment,32783.4,Auto Debit,Axis,income,3812.65
2024-03-23,Electricity Bill,67131.26,NetBanking,Axis,expense,1456.6
2024-10-06,Movie Ticket,56487.81,Auto Debit,HDFC,expense,1701.65
2024-02-02,Grocery Shopping,58086.68,Auto Debit,SBI,expense,7521.08
2025-08-26,Consulting Payment,4594.4,UPI,HDFC,income,354.56
2024-02-21,Gym Membership,91151.5,Credit Card,ICICI,expense,10019.99
2024-01-25,Netflix Subscription,40754.95,Credit Card,Kotak,expense,4685.61
2025-04-06,Gym Membership,14459.03,Credit Card,HDFC,expense,609.28
2024-06-06,Gym Membership,20113.63,Credit Card,Kotak,expense,1809.3
2025-08-02,Hospital Payment,88165.7,Credit Card,Axis,expense,1963.28
2024-01-25,Netflix Subscription,33264.93,Credit Card,HDFC,expense,2729.32
2025-02-14,Mutual Fund Investment,18433.78,UPI,Kotak,expense,1166.95
2024-03-07,Mutual Fund Investment,73799.16,NetBanking,HDFC,expense,4726.84
2025-10-13,Electricity Bill,64879.14,Auto Debit,ICICI,expense,6136.24
2025-11-07,Movie Ticket,81012.27,UPI,HDFC,expense,8848.19
2024-08-07,Interest Credited,50599.18,NetBanking,ICICI,income,2715.41
2024-01-16,Consulting Payment,60078.9,UPI,Axis,income,9168.16
2025-05-24,Freelance Payment,20247.68,Auto Debit,SBI,income,442.95
2024-11-10,Restaurant Payment,25282.97,Debit Card,Kotak,expense,1908.53
2024-08-18,Netflix Subscription,21128.06,UPI,HDFC,expense,2532.43
2024-11-08,Movie Ticket,63067.89,Credit Card,Kotak,expense,7162.77
2024-06-25,Netflix Subscription,3832.4,UPI,HDFC,expense,566.99
2024-11-16,Consulting Payment,1079.3,Credit Card,ICICI,income,24.74
2024-12-30,Consulting Payment,28981.48,Credit Card,SBI,income,3905.19
2024-09-15,Fuel Payment,61797.93,Debit Card,Kotak,expense,8057.04
2024-03-06,Hotel Booking,33215.74,UPI,ICICI,expense,3847.01
2025-06-30,Electricity Bill,91130.46,UPI,ICICI,expense,3773.21
2024-04-13,Netflix Subscription,11055.18,Credit Card,Axis,expense,320.46
2024-03-12,Electricity Bill,35685.1,Credit Card,ICICI,expense,2030.97
2025-05-29,Hotel Booking,24178.14,Credit Card,ICICI,expense,740.71
2025-03-04,Fuel Payment,572.85,NetBanking,Kotak,expense,91.27
2024-10-08,Freelance Payment,30067.63,Credit Card,SBI,income,5317.08
2025-08-04,Flight Ticket,66890.85,Credit Card,HDFC,expense,4635.14
2025-05-28,Mutual Fund Investment,36769.69,NetBanking,HDFC,expense,3768.16
2024-01-07,Fuel Payment,61149.2,NetBanking,Axis,expense,10363.62
2025-05-05,Salary Credited,93127.55,UPI,Axis,income,9448.33
2025-02-25,Netflix Subscription,88065.47,UPI,HDFC,expense,7159.83
2024-05-20,Hotel Booking,23385.18,Credit Card,SBI,expense,3042.4
2025-03-15,Salary Credited,94756.27,NetBanking,ICICI,income,14217.86
2025-02-28,Movie Ticket,85135.42,Debit Card,Axis,expense,4829.25
2025-06-19,Freelance Payment,1661.93,Debit Card,ICICI,income,240.74
2025-10-14,Consulting Payment,20444.5,Credit Card,Axis,income,3376.13
2025-11-05,Gym Membership,55963.76,Debit Card,Kotak,expense,8308.78
2024-11-08,Hotel Booking,4682.34,UPI,SBI,expense,716.68
2025-10-22,Hotel Booking,14917.81,Debit Card,HDFC,expense,1560.68
2024-10-14,Salary Credited,86094.75,Debit Card,Kotak,income,12817.91
2024-11-06,Grocery Shopping,69037.89,Credit Card,Kotak,expense,3505.82
2025-08-31,Mutual Fund Investment,91130.69,Debit Card,Kotak,expense,10830.86
2024-04-10,Mutual Fund Investment,21196.01,UPI,SBI,expense,3362.53
2024-12-26,Mutual Fund Investment,66629.88,Debit Card,HDFC,expense,8855.76
2025-04-23,Fuel Payment,95298.8,Credit Card,ICICI,expense,15843.83
2024-10-04,Flight Ticket,37477.09,NetBanking,SBI,expense,4033.9
2025-04-25,Hotel Booking,71620.39,Debit Card,Kotak,expense,7056.88
2025-02-07,Netflix Subscription,72568.35,Auto Debit,SBI,expense,11824.62
2024-12-13,Restaurant Payment,56520.14,Debit Card,ICICI,expense,8114.76
2025-09-21,Hotel Booking,96990.75,Auto Debit,SBI,expense,9777.38
2025-04-20,Hotel Booking,8393.54,UPI,HDFC,expense,1483.53
2024-09-04,Grocery Shopping,79337.97,UPI,Kotak,expense,8122.04
2025-03-05,Hotel Booking,76517.67,UPI,Kotak,expense,5652.54
2025-08-30,Gym Membership,35670.26,Auto Debit,HDFC,expense,6269.7
2024-12-07,Fuel Payment,25061.44,UPI,SBI,expense,535.46
2025-01-23,Gym Membership,9814.75,Auto Debit,Kotak,expense,674.72
2024-03-23,Grocery Shopping,9105.09,Auto Debit,ICICI,expense,1519.49
2025-08-26,Restaurant Payment,40112.43,UPI,SBI,expense,4937.32
2024-12-29,Restaurant Payment,10392.94,NetBanking,HDFC,expense,629.9
2025-02-28,Fuel Payment,59597.66,Debit Card,ICICI,expense,7103.83
2024-12-05,Mutual Fund Investment,38341.24,Auto Debit,ICICI,expense,2110.91
2025-01-11,Grocery Shopping,97992.58,Debit Card,Axis,expense,12856.7
2025-03-27,Electricity Bill,97082.21,Auto Debit,Kotak,expense,1997.92
2025-05-03,Interest Credited,14525.63,Auto Debit,ICICI,income,2080.51
2024-09-19,Flight Ticket,81983.3,UPI,ICICI,expense,3101.19
2024-08-18,Amazon Purchase,92035.34,NetBanking,SBI,expense,15038.29
2025-06-25,Hotel Booking,87902.32,Debit Card,ICICI,expense,13426.51
2024-04-28,Hospital Payment,19732.79,Debit Card,HDFC,expense,751.62
2024-10-10,Consulting Payment,39396.3,Credit Card,Kotak,income,3773.57
2025-01-13,Mutual Fund Investment,56341.34,NetBanking,SBI,expense,5185.57
2024-12-13,Hospital Payment,4949.81,Auto Debit,HDFC,expense,189.16
2025-09-29,Interest Credited,36384.44,UPI,Axis,income,5485.23
2024-09-17,Netflix Subscription,70234.78,Credit Card,SBI,expense,2593.04
2025-08-09,Hotel Booking,20431.2,Debit Card,ICICI,expense,2815.74
2024-06-27,Interest Credited,43668.91,NetBanking,HDFC,income,4164.28
2024-04-03,Hospital Payment,508.42,Credit Card,SBI,expense,75.65
2025-03-27,Fuel Payment,65239.05,NetBanking,ICICI,expense,1345.85
2024-06-23,Restaurant Payment,8564.7,UPI,SBI,expense,750.27
2025-06-19,Consulting Payment,96887.06,Credit Card,ICICI,income,7232.72
2024-12-09,Gym Membership,56415.32,NetBanking,SBI,expense,6606.73
2024-08-30,Hospital Payment,78114.05,Debit Card,HDFC,expense,4064.67
2025-06-09,Netflix Subscription,10616.88,UPI,HDFC,expense,827.69
2024-02-22,Electricity Bill,69251.07,UPI,HDFC,expense,8338.24
2024-02-15,Movie Ticket,96060.71,Debit Card,ICICI,expense,15937.23
2024-03-15,Hospital Payment,41066.74,Debit Card,SBI,expense,3088.83
2025-06-21,Gym Membership,12136.48,Credit Card,HDFC,expense,1740.81
2025-06-19,Amazon Purchase,42163.96,Auto Debit,Kotak,expense,7145.81
2025-04-13,Hotel Booking,80340.16,Debit Card,Axis,expense,5880.37
2024-01-15,Fuel Payment,98838.67,Debit Card,Axis,expense,10882.04
2024-07-23,Restaurant Payment,75620.1,Debit Card,Kotak,expense,5905.47
2025-06-30,Hotel Booking,2467.47,Debit Card,SBI,expense,86.85
2024-03-10,Flight Ticket,75637.97,Auto Debit,ICICI,expense,12422.78
2025-07-28,Fuel Payment,95078.67,UPI,Kotak,expense,13693.34
2025-02-08,Hospital Payment,21743.59,Debit Card,HDFC,expense,667.46
2024-03-15,Amazon Purchase,79494.28,Credit Card,ICICI,expense,10715.32
2025-06-30,Movie Ticket,96998.91,Auto Debit,Axis,expense,12586.62
2024-09-27,Consulting Payment,90211.38,NetBanking,Kotak,income,9351.51
2024-07-02,Flight Ticket,96634.13,NetBanking,SBI,expense,8932.36
2024-03-03,Grocery Shopping,70801.21,Credit Card,ICICI,expense,1513.82
2025-06-28,Flight Ticket,13878.96,Credit Card,ICICI,expense,984.48
2024-12-07,Fuel Payment,63767.08,Auto Debit,SBI,expense,7485.86
2024-05-15,Hospital Payment,94905.14,Debit Card,ICICI,expense,7292.21
2024-09-26,Movie Ticket,12112.32,Auto Debit,Axis,expense,1459.12
2024-07-05,Salary Credited,37187.2,NetBanking,HDFC,income,3179.8
2025-05-11,Salary Credited,34006.83,Credit Card,ICICI,income,933.58
2025-04-14,Electricity Bill,29774.21,Auto Debit,SBI,expense,2014.16
2024-03-15,Flight Ticket,63057.75,UPI,Kotak,expense,8772.1
2025-02-02,Hotel Booking,90250.66,NetBanking,Kotak,expense,12974.15
2025-03-19,Fuel Payment,65277.77,Credit Card,Kotak,expense,7135.84
2024-01-31,Mutual Fund Investment,63271.34,Credit Card,HDFC,expense,2595.56
2024-05-28,Salary Credited,48005.54,NetBanking,Kotak,income,5574.52
2024-04-27,Fuel Payment,34745.74,NetBanking,Kotak,expense,5976.54
2024-01-28,Interest Credited,74645.69,Credit Card,Axis,income,8857.9
2024-05-14,Flight Ticket,58839.53,UPI,HDFC,expense,4114.45
2025-06-10,Gym Membership,64699.52,Credit Card,Axis,expense,5426.75
2025-08-11,Electricity Bill,17466.82,Credit Card,SBI,expense,638.91
2025-01-04,Netflix Subscription,60121.26,Debit Card,HDFC,expense,10471.48
2024-06-26,Movie Ticket,69384.31,Credit Card,Axis,expense,8519.61
2025-10-25,Netflix Subscription,17677.59,Credit Card,Kotak,expense,2303.83
2025-03-17,Electricity Bill,55436.32,UPI,Kotak,expense,9665.95
2024-08-19,Fuel Payment,67205.82,Auto Debit,Axis,expense,11294.61
2025-07-13,Hospital Payment,16672.52,UPI,SBI,expense,459.81
2024-03-09,Fuel Payment,55552.73,Auto Debit,Kotak,expense,3583.87
2025-07-12,Hospital Payment,12994.26,Credit Card,ICICI,expense,545.91
2024-12-21,Restaurant Payment,80038.93,Auto Debit,HDFC,expense,7653.28
2024-06-27,Fuel Payment,12204.1,Auto Debit,Kotak,expense,1757.56
2024-08-24,Consulting Payment,13477.72,NetBanking,Kotak,income,2157.72
2025-01-02,Amazon Purchase,200.41,Debit Card,Axis,expense,12.32
2024-03-10,Salary Credited,3872.28,UPI,Axis,income,547.71
2025-04-19,Hospital Payment,3688.45,Debit Card,ICICI,expense,551.64
2025-06-10,Salary Credited,89474.66,Credit Card,Kotak,income,1983.09
2025-10-01,Consulting Payment,94895.26,NetBanking,HDFC,income,5249.22
2025-02-07,Hotel Booking,89694.51,Auto Debit,Kotak,expense,10484.89
2024-07-19,Gym Membership,21998.87,NetBanking,ICICI,expense,983.57
2025-05-05,Movie Ticket,26920.01,UPI,Axis,expense,2813.05
2025-01-07,Mutual Fund Investment,92364.5,Credit Card,ICICI,expense,2066.99
2025-10-22,Amazon Purchase,60928.79,Debit Card,Axis,expense,2645.61
2025-10-27,Fuel Payment,12234.64,NetBanking,SBI,expense,479.5
2024-02-16,Grocery Shopping,26926.36,Credit Card,ICICI,expense,4599.17
2025-10-31,Salary Credited,67893.53,Auto Debit,ICICI,income,7132.08
2024-01-31,Interest Credited,25403.28,NetBanking,Axis,income,3564.03
2024-09-21,Gym Membership,74666.01,Auto Debit,ICICI,expense,10826.15
2024-03-08,Amazon Purchase,71748.41,NetBanking,HDFC,expense,9374.8
2024-12-27,Salary Credited,6372.98,Credit Card,ICICI,income,257.89
2024-08-24,Hospital Payment,2944.85,Debit Card,SBI,expense,94.47
2024-02-21,Freelance Payment,44545.64,Debit Card,HDFC,income,7025.76
2025-10-24,Amazon Purchase,51892.01,Auto Debit,ICICI,expense,9284.23
2024-10-18,Amazon Purchase,52406.78,Auto Debit,HDFC,expense,8665.42
2025-04-29,Hospital Payment,8417.69,NetBanking,Kotak,expense,776.66
2024-02-07,Hotel Booking,68207.47,NetBanking,SBI,expense,5648.33
2024-06-23,Gym Membership,16095.14,Credit Card,Axis,expense,541.03
2024-12-25,Electricity Bill,16459.22,UPI,Kotak,expense,1124.49
2024-09-11,Electricity Bill,31561.5,NetBanking,ICICI,expense,3729.7
2025-09-15,Fuel Payment,91433.35,Auto Debit,SBI,expense,10895.03
2025-10-02,Netflix Subscription,62681.05,UPI,Kotak,expense,9795.49
2024-04-01,Gym Membership,9878.68,Debit Card,HDFC,expense,1215.08
2024-07-03,Amazon Purchase,79799.27,Credit Card,SBI,expense,10426.33
2025-08-05,Interest Credited,97871.53,UPI,ICICI,income,9510.8
2024-01-23,Flight Ticket,55903.15,Auto Debit,SBI,expense,7104.06
2024-05-29,Amazon Purchase,40984.35,Auto Debit,Axis,expense,7031.28
2024-10-19,Freelance Payment,58470.94,UPI,Axis,income,1891.23
2025-05-27,Hotel Booking,96305.67,UPI,ICICI,expense,3636.55
2025-05-09,Interest Credited,42627.44,Auto Debit,ICICI,income,4790.42
2024-08-30,Gym Membership,5575.75,Credit Card,HDFC,expense,252.34
2025-10-25,Gym Membership,47739.71,Debit Card,SBI,expense,1834.28
2025-08-28,Salary Credited,71577.04,Auto Debit,Axis,income,2144.16
2025-06-01,Hotel Booking,46474.18,UPI,ICICI,expense,5573.18
2025-10-23,Mutual Fund Investment,14680.99,UPI,ICICI,expense,2043.49
2024-04-05,Interest Credited,9381.88,Auto Debit,SBI,income,1036.52
2024-12-02,Grocery Shopping,77838.12,Credit Card,ICICI,expense,1963.97
2024-10-02,Netflix Subscription,3484.94,UPI,Kotak,expense,424.29
2024-10-08,Consulting Payment,82383.2,Credit Card,Axis,income,4270.64
2025-10-14,Restaurant Payment,7315.95,Debit Card,HDFC,expense,1296.46
2024-08-17,Interest Credited,42487.95,UPI,ICICI,income,2455.31
2024-10-23,Electricity Bill,48737.56,Auto Debit,HDFC,expense,4655.42
2025-09-08,Salary Credited,11221.31,Auto Debit,HDFC,income,737.72
2025-01-17,Hotel Booking,1288.71,Credit Card,HDFC,expense,223.05
2025-08-03,Amazon Purchase,78812.8,Debit Card,HDFC,expense,3938.7
2024-01-10,Gym Membership,33787.75,Credit Card,ICICI,expense,3910.55
